drug_a_ik14,drug_b_ik14,a_name,b_name,pair_id,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict,faers_pt_covered_strict,faers_best_pt_code_strict
FUBBGQLTSCSAON,VEGXETMJINRLTH,Cephaloglycin,Gentamicin C1a,FUBBGQLTSCSAON::VEGXETMJINRLTH,0,,,,
HSJFYRYGGKLQBT,NPYPAHLBTDXSSS,Guacetisal,Potassium cation,HSJFYRYGGKLQBT::NPYPAHLBTDXSSS,0,,,,
YPHDIMUXXABSSO,ZFMITUMMTDLWHR,PF-00610355,Minoxidil,YPHDIMUXXABSSO::ZFMITUMMTDLWHR,0,,,,
KHKDIUPVDIEHAH,SYJXFKPQNSDJLI,Oxabolone cipionate,Neamine,KHKDIUPVDIEHAH::SYJXFKPQNSDJLI,0,,,,
LMEKQMALGUDUQG,REOJLIXKJWXUGB,Azathioprine,Mofebutazone,LMEKQMALGUDUQG::REOJLIXKJWXUGB,0,,,,
FWUQWDCOOWEXRY,OROGSEYTTFOCAN,Lanicemine,Codeine,FWUQWDCOOWEXRY::OROGSEYTTFOCAN,0,,,,
APGDTXUMTIZLCJ,WDENQIQQYWYTPO,Prednisolone hemisuccinate,Acalabrutinib,APGDTXUMTIZLCJ::WDENQIQQYWYTPO,0,,,,
CEUORZQYGODEFX,MKJIEFSOBYUXJB,Aripiprazole,Deutetrabenazine,CEUORZQYGODEFX::MKJIEFSOBYUXJB,63,,,,
JURKNVYFZMSNLP,WVLHGCRWEHCIOT,Cyclobenzaprine,Eltoprazine,JURKNVYFZMSNLP::WVLHGCRWEHCIOT,0,,,,
CHHXEZSCHQVSRE,PUDHBTGHUJUUFI,Lobeglitazone,Lanreotide,CHHXEZSCHQVSRE::PUDHBTGHUJUUFI,0,,,,
JCQLYHFGKNRPGE,MFDFERRIHVXMIY,Lactulose,Procaine,JCQLYHFGKNRPGE::MFDFERRIHVXMIY,10,,,,
TWQYWUXBZHPIIV,WTDRDQBEARUVNC,GW842166,Levodopa,TWQYWUXBZHPIIV::WTDRDQBEARUVNC,0,,,,
NQDJXKOVJZTUJA,SDEAXTCZPQIFQM,Nevirapine,Tucatinib,NQDJXKOVJZTUJA::SDEAXTCZPQIFQM,0,,,,
IXTMWRCNAAVVAI,PHTUQLWOUWZIMZ,Dofetilide,Dosulepin,IXTMWRCNAAVVAI::PHTUQLWOUWZIMZ,0,,,,
CPZBLNMUGSZIPR,DRHKJLXJIQTDTD,Palonosetron,Tamsulosin,CPZBLNMUGSZIPR::DRHKJLXJIQTDTD,36,,,,
LUALIOATIOESLM,YREYLAVBNPACJM,Periciazine,Tulobuterol,LUALIOATIOESLM::YREYLAVBNPACJM,0,,,,
HQRSUIDICNOLPX,YEZNLOUZAIOMLT,Mersalyl,Tolfenamic acid,HQRSUIDICNOLPX::YEZNLOUZAIOMLT,0,,,,
RQZAXGRLVPAYTJ,YLXDSYKOBKBWJQ,Megestrol acetate,Ramelteon,RQZAXGRLVPAYTJ::YLXDSYKOBKBWJQ,2,,,,
HUYWAWARQUIQLE,SGEGOXDYSFKCPT,Isoetharine,Vilazodone,HUYWAWARQUIQLE::SGEGOXDYSFKCPT,0,,,,
JUUFBMODXQKSTD,ZKCUQUAJNFHDFR,Flupirtine,Mangafodipir,JUUFBMODXQKSTD::ZKCUQUAJNFHDFR,0,,,,
BFSMGDJOXZAERB,XOZIUKBZLSUILX,Dabrafenib,Epothilone D,BFSMGDJOXZAERB::XOZIUKBZLSUILX,0,,,,
HMXDWDSNPRNUKI,JPGQOUSTVILISH,Surinabant,Enflurane,HMXDWDSNPRNUKI::JPGQOUSTVILISH,0,,,,
