drug_a_ik14,drug_b_ik14,a_name,b_name,pair_id,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict,faers_pt_covered_strict,faers_best_pt_code_strict
HPFVBGJFAYZEBE,PQSUYGKTWSAVDQ,Testosterone cypionate,Aldosterone,HPFVBGJFAYZEBE::PQSUYGKTWSAVDQ,0,,,,
OGSPWJRAVKPPFI,XZNUGFQTQHRASN,Alendronic acid,Apramycin,OGSPWJRAVKPPFI::XZNUGFQTQHRASN,0,,,,
FIQOFIRCTOWDOW,IFSDAJWBUCMOAH,Temocapril,Idelalisib,FIQOFIRCTOWDOW::IFSDAJWBUCMOAH,0,,,,
JSWZEAMFRNKZNL,JXEHXYFSIOYTAH,Alosetron,Imagabalin,JSWZEAMFRNKZNL::JXEHXYFSIOYTAH,0,,,,
UEJJHQNACJXSKW,UORJNBVJVRLXMQ,Thalidomide,Aprobarbital,UEJJHQNACJXSKW::UORJNBVJVRLXMQ,0,,,,
TZFWDZFKRBELIQ,XXSMGPRMXLTPCZ,Chlorzoxazone,Hydroxychloroquine,TZFWDZFKRBELIQ::XXSMGPRMXLTPCZ,15,,,,
AXRYRYVKAWYZBR,SADQVAVFGNTEOD,Atazanavir,Indalpine,AXRYRYVKAWYZBR::SADQVAVFGNTEOD,0,,,,
MNIPYSSQXLZQLJ,XYKWNRUXCOIMFZ,Aceclofenac,Tepoxalin,MNIPYSSQXLZQLJ::XYKWNRUXCOIMFZ,0,,,,
DQKXQSGTHWVTAD,UOZODPSAJZTQNH,Pramocaine,Paromomycin,DQKXQSGTHWVTAD::UOZODPSAJZTQNH,0,,,,
MLKXDPUZXIRXEP,TZRXHJWUDPFEEY,Sulindac,Pentaerythritol tetranitrate,MLKXDPUZXIRXEP::TZRXHJWUDPFEEY,0,,,,
SGEGOXDYSFKCPT,XWTYSIMOBUGWOL,Vilazodone,Terbutaline,SGEGOXDYSFKCPT::XWTYSIMOBUGWOL,0,,,,
JGSARLDLIJGVTE,ZZORFUFYDOWNEF,Benzylpenicillin,Sulfadimethoxine,JGSARLDLIJGVTE::ZZORFUFYDOWNEF,0,,,,
OROGSEYTTFOCAN,WAXQNWCZJDTGBU,Codeine,Netupitant,OROGSEYTTFOCAN::WAXQNWCZJDTGBU,3,,,,
HDACQVRGBOVJII,SGUAFYQXFOLMHL,Ramipril,Labetalol,HDACQVRGBOVJII::SGUAFYQXFOLMHL,173,,,,
ADIMAYPTOBDMTL,ZPXSCAKFGYXMGA,Oxazepam,Mazindol,ADIMAYPTOBDMTL::ZPXSCAKFGYXMGA,0,,,,
OOUGLTULBSNHNF,WBXPDJSOTKVWSJ,Ataluren,Pemetrexed,OOUGLTULBSNHNF::WBXPDJSOTKVWSJ,0,,,,
HOMGKSMUEGBAAB,OEHFRZLKGRKFAS,Ifosfamide,Droxicam,HOMGKSMUEGBAAB::OEHFRZLKGRKFAS,0,,,,
CEAZRRDELHUEMR,QXKHYNVANLEOEG,Gentamicin,Methoxsalen,CEAZRRDELHUEMR::QXKHYNVANLEOEG,0,,,,
COUYJEVMBVSIHV,ONWXNHPOAGOMTG,Olodaterol,Suxibuzone,COUYJEVMBVSIHV::ONWXNHPOAGOMTG,0,,,,
PTXGHCGBYMQQIG,RQZAXGRLVPAYTJ,Proglumetacin,Megestrol acetate,PTXGHCGBYMQQIG::RQZAXGRLVPAYTJ,0,,,,
QZZUEBNBZAPZLX,XZXHXSATPCNXJR,Indacaterol,Nintedanib,QZZUEBNBZAPZLX::XZXHXSATPCNXJR,17,,,,
BVKZGUZCCUSVTD,DVLBYTMYSMAKHP,Ammonium bicarbonate,Butaperazine,BVKZGUZCCUSVTD::DVLBYTMYSMAKHP,0,,,,
DMUAPQTXSSNEDD,VFLDPWHFBUODDF,Midecamycin,Curcumin,DMUAPQTXSSNEDD::VFLDPWHFBUODDF,0,,,,
PIDFDZJZLOTZTM,RMRJXGBAOAMLHD,Ombitasvir,Buprenorphine,PIDFDZJZLOTZTM::RMRJXGBAOAMLHD,0,,,,
IDYZIJYBMGIQMJ,NWIUTZDMDHAVTP,Enoxacin,Betaxolol,IDYZIJYBMGIQMJ::NWIUTZDMDHAVTP,0,,,,
BCEHBSKCWLPMDN,OMFXVFTZEKFJBZ,Voriconazole,Corticosterone,BCEHBSKCWLPMDN::OMFXVFTZEKFJBZ,1,,,,
FEWJPZIEWOKRBE,QAOWNCQODCNURD,Aluminium acetotartrate,Aluminum sulfate,FEWJPZIEWOKRBE::QAOWNCQODCNURD,0,,,,
LGYTZKPVOAIUKX,PWVXXGRKLHYWKM,Kebuzone,Eletriptan,LGYTZKPVOAIUKX::PWVXXGRKLHYWKM,0,,,,
TZFWDZFKRBELIQ,YKPUWZUDDOIDPM,Chlorzoxazone,Capsaicin,TZFWDZFKRBELIQ::YKPUWZUDDOIDPM,0,,,,
FMCGSUUBYTWNDP,MTZBBNMLMNBNJL,DL-Methylephedrine,Xipamide,FMCGSUUBYTWNDP::MTZBBNMLMNBNJL,0,,,,
PTGXAUBQBSGPKF,WZRCQWQRFZITDX,Nylidrin,Higenamine,PTGXAUBQBSGPKF::WZRCQWQRFZITDX,0,,,,
LRCXRAABFLIVAI,YJQZYXCXBBCEAQ,Norfenefrine,Ractopamine,LRCXRAABFLIVAI::YJQZYXCXBBCEAQ,0,,,,
IKWTVSLWAPBBKU,LTMHDMANZUZIPE,Arsenic trioxide,Digoxin,IKWTVSLWAPBBKU::LTMHDMANZUZIPE,2,,,,
ALFGKMXHOUSVAD,UXNXMBYCBRBRFD,Ketobemidone,Berotralstat,ALFGKMXHOUSVAD::UXNXMBYCBRBRFD,0,,,,
HBBGRARXTFLTSG,RDMOROXKXONCAL,Lithium cation,Cefroxadine,HBBGRARXTFLTSG::RDMOROXKXONCAL,0,,,,
PJMPHNIQZUBGLI,XTULMSXFIHGYFS,Fentanyl,Fluticasone furoate,PJMPHNIQZUBGLI::XTULMSXFIHGYFS,112,18302.646017699117,5238.1674772507595,1,20711130
DYEFUKCXAQOFHX,FAOZLTXFLGPHNG,Ebselen,Fluorometholone,DYEFUKCXAQOFHX::FAOZLTXFLGPHNG,0,,,,
FXMWUTGUCAKGQL,MYWUZJCMWCOHBA,"4-Bromo-2,5-dimethoxyamphetamine",Levmetamfetamine,FXMWUTGUCAKGQL::MYWUZJCMWCOHBA,0,,,,
MXUNKHLAEDCYJL,XWTYSIMOBUGWOL,Toloxatone,Terbutaline,MXUNKHLAEDCYJL::XWTYSIMOBUGWOL,4,,,,
DGBIGWXXNGSACT,VZYCZNZBPPHOFY,Clonazepam,Thioproperazine,DGBIGWXXNGSACT::VZYCZNZBPPHOFY,0,,,,
AXJQVVLKUYCICH,ZRIHAIZYIMGOAB,Ibipinabant,Butabarbital,AXJQVVLKUYCICH::ZRIHAIZYIMGOAB,0,,,,
VJJPUSNTGOMMGY,VTUSIVBDOCDNHS,Etoposide,Etidocaine,VJJPUSNTGOMMGY::VTUSIVBDOCDNHS,0,,,,
CJOFXWAVKWHTFT,NPTIPEQJIDTVKR,Fluvoxamine,Vabicaserin,CJOFXWAVKWHTFT::NPTIPEQJIDTVKR,0,,,,
DKNWSYNQZKUICI,VVWYOYDLCMFIEM,Amantadine,Propantheline,DKNWSYNQZKUICI::VVWYOYDLCMFIEM,0,,,,
QZIQORUGXBPDSU,SQYNKIJPMDEDEG,Imipramine oxide,Paraldehyde,QZIQORUGXBPDSU::SQYNKIJPMDEDEG,0,,,,
NEMGRZFTLSKBAP,PWHROYKAGRUWDQ,Safinamide,Difenpiramide,NEMGRZFTLSKBAP::PWHROYKAGRUWDQ,0,,,,
IDBPHNDTYPBSNI,RMMXTBMQSGEXHJ,Alfentanil,Aminophenazone,IDBPHNDTYPBSNI::RMMXTBMQSGEXHJ,0,,,,
KVJXBPDAXMEYOA,VDTNNGKXZGSZIP,Trilostane,Carbutamide,KVJXBPDAXMEYOA::VDTNNGKXZGSZIP,0,,,,
BIDNLKIUORFRQP,KEDYTOTWMPBSLG,Fosinopril,Ramiprilat,BIDNLKIUORFRQP::KEDYTOTWMPBSLG,8,,,,
AEQDJSLRWYMAQI,YSGASDXSLKIKOD,Tetrahydropalmatine,Remacemide,AEQDJSLRWYMAQI::YSGASDXSLKIKOD,0,,,,
CBIAWPMZSFFRGN,XBMIVRRWGCYBTQ,Indiplon,Alphacetylmethadol,CBIAWPMZSFFRGN::XBMIVRRWGCYBTQ,0,,,,
SAPNXPWPAUFAJU,SGUAFYQXFOLMHL,Lofepramine,Labetalol,SAPNXPWPAUFAJU::SGUAFYQXFOLMHL,0,,,,
BMKDZUISNHGIBY,VOCBWIIFXDYGNZ,Dexrazoxane,Testosterone enanthate,BMKDZUISNHGIBY::VOCBWIIFXDYGNZ,0,,,,
AQHHHDLHHXJYJD,JRYZEMHNDUZNMI,Dexpropranolol,Hydrolyzed Cephalothin,AQHHHDLHHXJYJD::JRYZEMHNDUZNMI,0,,,,
GGECDTUJZOXAAR,MXUNKHLAEDCYJL,Iproclozide,Toloxatone,GGECDTUJZOXAAR::MXUNKHLAEDCYJL,0,,,,
KTDZCOWXCWUPEO,MADRIHWFJGRSBP,NS-398,Benazeprilat,KTDZCOWXCWUPEO::MADRIHWFJGRSBP,0,,,,
AEUTYOVWOVBAKS,WDLRUFUQRNWCPK,Ethambutol,Gadoteric acid,AEUTYOVWOVBAKS::WDLRUFUQRNWCPK,0,,,,
IPOKCKJONYRRHP,LXMSZDCAJNLERA,Balsalazide,Spironolactone,IPOKCKJONYRRHP::LXMSZDCAJNLERA,6,,,,
AGHANLSBXUWXTB,NXFQHRVNIOXGAQ,Tienilic acid,Nitrofurantoin,AGHANLSBXUWXTB::NXFQHRVNIOXGAQ,0,,,,
GIJXKZJWITVLHI,PWYYWQHXAPXYMF,Benzatropine,Strontium cation Sr-89,GIJXKZJWITVLHI::PWYYWQHXAPXYMF,0,,,,
JAONZGLTYYUPCT,ODQWQRRAPPTVAG,Bismuth subgallate,Cidoxepin,JAONZGLTYYUPCT::ODQWQRRAPPTVAG,0,,,,
DTGLZDAWLRGWQN,QWCJHSGMANYXCW,Prasugrel,Sulfaphenazole,DTGLZDAWLRGWQN::QWCJHSGMANYXCW,0,,,,
FHXBMXJMKMWVRG,UHSKFQJFRQCDBE,Estradiol acetate,Ropinirole,FHXBMXJMKMWVRG::UHSKFQJFRQCDBE,0,,,,
HMZQULPVMKITSP,PCOBBVZJEWWZFR,Furafylline,Ezogabine,HMZQULPVMKITSP::PCOBBVZJEWWZFR,0,,,,
NSKGQURZWSPSBC,RTGDFNSFWBGLEC,Ribostamycin,Mycophenolate mofetil,NSKGQURZWSPSBC::RTGDFNSFWBGLEC,0,,,,
GXJABQQUPOEUTA,UIOFUWFRIANQPC,Bortezomib,Flucloxacillin,GXJABQQUPOEUTA::UIOFUWFRIANQPC,13,,,,
HTIKWNNIPGXLGM,XBMIVRRWGCYBTQ,Rapacuronium,Alphacetylmethadol,HTIKWNNIPGXLGM::XBMIVRRWGCYBTQ,0,,,,
MKXKFYHWDHIYRV,MOVRKLZUVNCBIP,Flutamide,Prednisone acetate,MKXKFYHWDHIYRV::MOVRKLZUVNCBIP,3,,,,
PHPUXYRXPHEJDF,ZPMNHBXQOOVQJL,Oxyphenisatin acetate,Prucalopride,PHPUXYRXPHEJDF::ZPMNHBXQOOVQJL,0,,,,
SLAYUXIURFNXPG,TTWJBBZEZQICBI,Ceforanide,Metoclopramide,SLAYUXIURFNXPG::TTWJBBZEZQICBI,0,,,,
ISWSIDIOOBJBQZ,LOUPRKONTZGTKE,Phenol,Quinidine,ISWSIDIOOBJBQZ::LOUPRKONTZGTKE,0,,,,
HTIQEAQVCYTUBX,PHLBKPHSAVXXEF,Amlodipine,Trazodone,HTIQEAQVCYTUBX::PHLBKPHSAVXXEF,5100,23431.76024308959,1396.3836562525744,13,17980670
KGFYHTZWPPHNLQ,NBIIXXVUZAFLBC,Rivaroxaban,Aluminium phosphate,KGFYHTZWPPHNLQ::NBIIXXVUZAFLBC,105,,,,
BPRHUIZQVSMCRT,MBMBGCFOFBJSGT,Rosuvastatin,Doconexent,BPRHUIZQVSMCRT::MBMBGCFOFBJSGT,26,,,,
FUBBGQLTSCSAON,NJDUWAXIURWWLN,Cephaloglycin,Clorindione,FUBBGQLTSCSAON::NJDUWAXIURWWLN,0,,,,
DJBNUMBKLMJRSA,MJIHNNLFOKEZEW,Flecainide,Dexlansoprazole,DJBNUMBKLMJRSA::MJIHNNLFOKEZEW,183,,,,
RKEWSXXUOLRFBX,ZBGXUVOIWDMMJE,Pimavanserin,Vorapaxar,RKEWSXXUOLRFBX::ZBGXUVOIWDMMJE,0,,,,
GKCBAIGFKIBETG,WTDRDQBEARUVNC,Tetracaine,Levodopa,GKCBAIGFKIBETG::WTDRDQBEARUVNC,0,,,,
XOFYZVNMUHMLCC,ZRIHAIZYIMGOAB,Prednisone,Butabarbital,XOFYZVNMUHMLCC::ZRIHAIZYIMGOAB,0,,,,
OXLZNBCNGJWPRV,PHLBKPHSAVXXEF,Hexoprenaline,Trazodone,OXLZNBCNGJWPRV::PHLBKPHSAVXXEF,0,,,,
HIUVKVDQFXDZHU,KYXDNECMRLFQMZ,Guanoxan,Cimicoxib,HIUVKVDQFXDZHU::KYXDNECMRLFQMZ,0,,,,
ICMWWNHDUZJFDW,XXYTXQGCRQLRHA,Oxymetholone,Metahexamide,ICMWWNHDUZJFDW::XXYTXQGCRQLRHA,0,,,,
FAIIFDPAEUKBEP,JSDRRTOADPPCHY,Nilvadipine,Quinapril,FAIIFDPAEUKBEP::JSDRRTOADPPCHY,0,,,,
DUYJMQONPNNFPI,RGCVKNLCSQQDEP,Osimertinib,Perphenazine,DUYJMQONPNNFPI::RGCVKNLCSQQDEP,0,,,,
MLKXDPUZXIRXEP,UOZODPSAJZTQNH,Sulindac,Paromomycin,MLKXDPUZXIRXEP::UOZODPSAJZTQNH,4,,,,
IWUCXVSUMQZMFG,RIKMMFOAQPJVMX,Levovirin,Fomepizole,IWUCXVSUMQZMFG::RIKMMFOAQPJVMX,0,,,,
TTWJBBZEZQICBI,ZVTDLPBHTSMEJZ,Metoclopramide,Danoprevir,TTWJBBZEZQICBI::ZVTDLPBHTSMEJZ,0,,,,
JZUFKLXOESDKRF,PXWLVJLKJGVOKE,Hydrochlorothiazide,Propyphenazone,JZUFKLXOESDKRF::PXWLVJLKJGVOKE,0,,,,
OWWLUIWOFHMHOQ,XWLUWCNOOVRFPX,Pipecuronium,Fosphenytoin,OWWLUIWOFHMHOQ::XWLUWCNOOVRFPX,0,,,,
DKJJVAGXPKPDRL,LOUPRKONTZGTKE,Tiludronic acid,Quinidine,DKJJVAGXPKPDRL::LOUPRKONTZGTKE,0,,,,
LQCLVBQBTUVCEQ,XIQVNETUBQGFHX,Troleandomycin,Oxybutynin,LQCLVBQBTUVCEQ::XIQVNETUBQGFHX,0,,,,
OLAHOMJCDNXHFI,UXNXMBYCBRBRFD,Erdafitinib,Berotralstat,OLAHOMJCDNXHFI::UXNXMBYCBRBRFD,0,,,,
HWHLPVGTWGOCJO,XLYOFNOQVPJJNP,Trihexyphenidyl,Aluminum chlorohydrate,HWHLPVGTWGOCJO::XLYOFNOQVPJJNP,6,,,,
TTWJBBZEZQICBI,XTNGUQKDFGDXSJ,Metoclopramide,Canagliflozin,TTWJBBZEZQICBI::XTNGUQKDFGDXSJ,15,,,,
CUIHSIWYWATEQL,VYMDGNCVAMGZFE,Pazopanib,Phenylbutazone,CUIHSIWYWATEQL::VYMDGNCVAMGZFE,0,,,,
AAOVKJBEBIDNHE,XNKCCCKFOQNXKV,Diazepam,Naloxegol,AAOVKJBEBIDNHE::XNKCCCKFOQNXKV,30,,,,
DHMTURDWPRKSOA,GSNHKUDZZFZSJB,Lonafarnib,Maraviroc,DHMTURDWPRKSOA::GSNHKUDZZFZSJB,0,,,,
JCCNYMKQOSZNPW,JWHAUXFOSRPERK,Loratadine,(R)-Propafenone,JCCNYMKQOSZNPW::JWHAUXFOSRPERK,18,,,,
GBLRQXKSCRCLBZ,HMEYVGGHISAPJR,Doxacurium,Rolitetracycline,GBLRQXKSCRCLBZ::HMEYVGGHISAPJR,0,,,,
PDGKHKMBHVFCMG,XPOQHMRABVBWPR,Trilaciclib,Efavirenz,PDGKHKMBHVFCMG::XPOQHMRABVBWPR,0,,,,
GMVPRGQOIOIIMI,IYFNEFQTYQPVOC,Alprostadil,Udenafil,GMVPRGQOIOIIMI::IYFNEFQTYQPVOC,0,,,,
NGBFQHCMQULJNZ,PTKSEFOSCHHMPD,Torasemide,Midodrine,NGBFQHCMQULJNZ::PTKSEFOSCHHMPD,271,,,,
FAKRSMQSSFJEIM,HIUVKVDQFXDZHU,Captopril,Guanoxan,FAKRSMQSSFJEIM::HIUVKVDQFXDZHU,0,,,,
NZHGWWWHIYHZNX,XILVEPYQJIOVNB,Tranilast,Etofenamate,NZHGWWWHIYHZNX::XILVEPYQJIOVNB,0,,,,
LEBVLXFERQHONN,QYSXJUFSXHHAJI,Bupivacaine,Cholecalciferol,LEBVLXFERQHONN::QYSXJUFSXHHAJI,175,176264.45454545456,33646.159652448754,1,17265807
BLJRIMJGRPQVNF,GKDRMWXFWHEQQT,Timolol,Fostamatinib,BLJRIMJGRPQVNF::GKDRMWXFWHEQQT,0,,,,
DZGWFCGJZKJUFP,KTHVBAZBLKXIHZ,Tyramine,Piperidolate,DZGWFCGJZKJUFP::KTHVBAZBLKXIHZ,0,,,,
QQOMYEQLWQJRKK,SHXWCVYOXRDMCX,Butyrfentanyl,Midomafetamine,QQOMYEQLWQJRKK::SHXWCVYOXRDMCX,0,,,,
JNIIDKODPGHQSS,VRTWBAAJJOHBQU,Capreomycin,Ledipasvir,JNIIDKODPGHQSS::VRTWBAAJJOHBQU,0,,,,
ODQWQRRAPPTVAG,YGSDEFSMJLZEOE,Cidoxepin,Imidazole salicylate,ODQWQRRAPPTVAG::YGSDEFSMJLZEOE,13,,,,
BUGYDGFZZOZRHP,RMUCZJUITONUFY,Memantine,Phenelzine,BUGYDGFZZOZRHP::RMUCZJUITONUFY,3,,,,
KIHYPELVXPAIDH,XFDJYSQDBULQSI,Siponimod,Doxapram,KIHYPELVXPAIDH::XFDJYSQDBULQSI,0,,,,
CBGUOGMQLZIXBE,FSQKKOOTNAMONP,Clobetasol propionate,Acemetacin,CBGUOGMQLZIXBE::FSQKKOOTNAMONP,0,,,,
GKCBAIGFKIBETG,VMIYHDSEFNYJSL,Tetracaine,Bromazepam,GKCBAIGFKIBETG::VMIYHDSEFNYJSL,0,,,,
BKYKPTRYDKTTJY,ODQWQRRAPPTVAG,Cyclopenthiazide,Cidoxepin,BKYKPTRYDKTTJY::ODQWQRRAPPTVAG,0,,,,
LFQSCWFLJHTTHZ,XNKLLVCARDGLGL,Ethanol,Stavudine,LFQSCWFLJHTTHZ::XNKLLVCARDGLGL,10,,,,
FBOZXECLQNJBKD,GUHPRPJDBZHYCJ,Methotrexate,Tiaprofenic acid,FBOZXECLQNJBKD::GUHPRPJDBZHYCJ,120,,,,
CBRJPFGIXUFMTM,YKPUWZUDDOIDPM,Ritlecitinib,Capsaicin,CBRJPFGIXUFMTM::YKPUWZUDDOIDPM,0,,,,
HBBGRARXTFLTSG,HMXDWDSNPRNUKI,Lithium cation,Surinabant,HBBGRARXTFLTSG::HMXDWDSNPRNUKI,0,,,,
UCTWMZQNUQWSLP,VYVKHNNGDFVQGA,Epinephrine,Mebeverine,UCTWMZQNUQWSLP::VYVKHNNGDFVQGA,79,,,,
BGSZAXLLHYERSY,LEROTMJVBFSIMP,Vecuronium,Mebutamate,BGSZAXLLHYERSY::LEROTMJVBFSIMP,0,,,,
FAKRSMQSSFJEIM,WMCMJIGLYZDKRN,Captopril,Theodrenaline,FAKRSMQSSFJEIM::WMCMJIGLYZDKRN,0,,,,
NDAUXUAQIAJITI,OUDSBRTVNLOZBN,Albuterol,Tolazamide,NDAUXUAQIAJITI::OUDSBRTVNLOZBN,0,,,,
AGMMTXLNIQSRCG,GOTYRUGSSMKFNF,Quinethazone,Lenalidomide,AGMMTXLNIQSRCG::GOTYRUGSSMKFNF,0,,,,
NPUKDXXFDDZOKR,YVPYQUNUQOZFHG,Etomidate,Diatrizoate,NPUKDXXFDDZOKR::YVPYQUNUQOZFHG,1,,,,
GVGLGOZIDCSQPN,NEMLPWNINZELKP,Diamorphine,Penthienate,GVGLGOZIDCSQPN::NEMLPWNINZELKP,0,,,,
JFJZZMVDLULRGK,OIGNJSKKLXVSLS,Tubocurarine,Prednisolone,JFJZZMVDLULRGK::OIGNJSKKLXVSLS,0,,,,
PPRRDFIXUUSXRA,WVLOADHCBXTIJK,Flibanserin,Hydromorphone,PPRRDFIXUUSXRA::WVLOADHCBXTIJK,0,,,,
BSMCAPRUBJMWDF,JGWRKYUXBBNENE,Cobimetinib,Pexidartinib,BSMCAPRUBJMWDF::JGWRKYUXBBNENE,0,,,,
IKFBPFGUINLYQI,RYIDHLJADOKWFM,Fencamfamin,Samidorphan,IKFBPFGUINLYQI::RYIDHLJADOKWFM,0,,,,
SFYAXIFVXBKRPK,WMCMJIGLYZDKRN,Abediterol,Theodrenaline,SFYAXIFVXBKRPK::WMCMJIGLYZDKRN,0,,,,
NBRBXGKOEOGLOI,OGHNVEJMJSYVRP,Dasabuvir,Carvedilol,NBRBXGKOEOGLOI::OGHNVEJMJSYVRP,1,,,,
XMAYWYJOQHXEEK,ZAFYATHCZYHLPB,Ketoconazole,Zolpidem,XMAYWYJOQHXEEK::ZAFYATHCZYHLPB,304,,,,
MIRHIEAGDGUXKL,XYLJNLCSTIOKRM,Hexapropymate,Brimonidine,MIRHIEAGDGUXKL::XYLJNLCSTIOKRM,0,,,,
RBTBFTRPCNLSDE,USRHYDPUVLEVMC,Methylene blue,Dapoxetine,RBTBFTRPCNLSDE::USRHYDPUVLEVMC,0,,,,
UNAANXDKBXWMLN,XZKVIDLLLOUTSS,Sibutramine,Iprazochrome,UNAANXDKBXWMLN::XZKVIDLLLOUTSS,0,,,,
FXMWUTGUCAKGQL,VTRAEEWXHOVJFV,"4-Bromo-2,5-dimethoxyamphetamine",Olmesartan,FXMWUTGUCAKGQL::VTRAEEWXHOVJFV,0,,,,
BTFHLQRNAMSNLC,ZFMITUMMTDLWHR,Clorgiline,Minoxidil,BTFHLQRNAMSNLC::ZFMITUMMTDLWHR,0,,,,
NPRHVSBSZMAEIN,QXWYKJLNLSIPIN,Tridihexethyl,Droxidopa,NPRHVSBSZMAEIN::QXWYKJLNLSIPIN,0,,,,
CEBYCSRFKCEUSW,TYZROVQLWOKYKF,Relcovaptan,Linezolid,CEBYCSRFKCEUSW::TYZROVQLWOKYKF,0,,,,
DKMFBWQBDIGMHM,PWEGQJCIAMJJHC,Melperone,Perphenazine enanthate,DKMFBWQBDIGMHM::PWEGQJCIAMJJHC,0,,,,
BYPFEZZEUUWMEJ,QDUIJCOKQCCXQY,Pentoxifylline,Cefozopran,BYPFEZZEUUWMEJ::QDUIJCOKQCCXQY,0,,,,
RXOIEVSUURELPG,SEALOBQTUQIVGU,Fenozolone,Dihydroergocornine,RXOIEVSUURELPG::SEALOBQTUQIVGU,0,,,,
FWUQWDCOOWEXRY,PAZQYDJGLKSCSI,Lanicemine,Heptabarbital,FWUQWDCOOWEXRY::PAZQYDJGLKSCSI,0,,,,
KSUUMAWCGDNLFK,WTYGAUXICFETTC,Apronalide,Cyclobarbital,KSUUMAWCGDNLFK::WTYGAUXICFETTC,0,,,,
MDSQOJYHHZBZKA,RMRJXGBAOAMLHD,Telotristat ethyl,Buprenorphine,MDSQOJYHHZBZKA::RMRJXGBAOAMLHD,0,,,,
OIGNJSKKLXVSLS,RZEKVGVHFLEQIL,Prednisolone,Celecoxib,OIGNJSKKLXVSLS::RZEKVGVHFLEQIL,7426,14893.432745388447,883.1684873769984,21,14501669
IPOPQVVNCFQFRK,UHUMRJKDOOEQIG,Phenoperidine,Bevonium,IPOPQVVNCFQFRK::UHUMRJKDOOEQIG,0,,,,
RYJXBGGBZJGVQF,UKTAZPQNNNJVKR,Veralipride,Dolasetron,RYJXBGGBZJGVQF::UKTAZPQNNNJVKR,0,,,,
QWGDMFLQWFTERH,VZYCZNZBPPHOFY,Amoxapine,Thioproperazine,QWGDMFLQWFTERH::VZYCZNZBPPHOFY,0,,,,
AYXYPKUFHZROOJ,ZPLQIPFOCGIIHV,Pregabalin,Gimeracil,AYXYPKUFHZROOJ::ZPLQIPFOCGIIHV,11,,,,
HAPOVYFOVVWLRS,XVUQHFRQHBLHQD,Ethosuximide,Lonazolac,HAPOVYFOVVWLRS::XVUQHFRQHBLHQD,0,,,,
HYWYRSMBCFDLJT,RTGDFNSFWBGLEC,Nimesulide,Mycophenolate mofetil,HYWYRSMBCFDLJT::RTGDFNSFWBGLEC,206,,,,
GYHCTFXIZSNGJT,XAYGBKHKBBXDAK,Tolvaptan,Mitapivat,GYHCTFXIZSNGJT::XAYGBKHKBBXDAK,0,,,,
KJEBULYHNRNJTE,PAJMKGZZBBTTOY,Cilnidipine,Treprostinil,KJEBULYHNRNJTE::PAJMKGZZBBTTOY,0,,,,
CLOMYZFHNHFSIQ,WTDGMHYYGNJEKQ,Clonixin,Gepefrine,CLOMYZFHNHFSIQ::WTDGMHYYGNJEKQ,0,,,,
NCDNCNXCDXHOMX,ZKFQEACEUNWPMT,Ritonavir,Azelnidipine,NCDNCNXCDXHOMX::ZKFQEACEUNWPMT,0,,,,
RBTBFTRPCNLSDE,WXXSNCNJFUAIDG,Methylene blue,Riociguat,RBTBFTRPCNLSDE::WXXSNCNJFUAIDG,0,,,,
HEMJJKBWTPKOJG,UCTRAOBQFUDCSR,Gemfibrozil,Solriamfetol,HEMJJKBWTPKOJG::UCTRAOBQFUDCSR,0,,,,
CPZBLNMUGSZIPR,WIKYUJGCLQQFNW,Palonosetron,Prochlorperazine,CPZBLNMUGSZIPR::WIKYUJGCLQQFNW,266,,,,
BLUAFEHZUWYNDE,VWYQKFLLGRBICZ,Artemisinin,Butanilicaine,BLUAFEHZUWYNDE::VWYQKFLLGRBICZ,0,,,,
FOCVUCIESVLUNU,IBLNKMRFIPWSOY,Thiotepa,Stiripentol,FOCVUCIESVLUNU::IBLNKMRFIPWSOY,0,,,,
OROGSEYTTFOCAN,SJZRECIVHVDYJC,Codeine,gamma-Hydroxybutyric acid,OROGSEYTTFOCAN::SJZRECIVHVDYJC,36,,,,
FDXQKWSTUZCCTM,IKBKZGMPCYNSLU,Oxaprotiline,Tegaserod,FDXQKWSTUZCCTM::IKBKZGMPCYNSLU,0,,,,
JIVPVXMEBJLZRO,ZKUDBRCEOBOWLF,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,Glisoxepide,JIVPVXMEBJLZRO::ZKUDBRCEOBOWLF,0,,,,
CGIGDMFJXJATDK,USNINKBPBVKHHZ,Indomethacin,Penicillin G Acyl-Serine,CGIGDMFJXJATDK::USNINKBPBVKHHZ,0,,,,
PHLBKPHSAVXXEF,WEQAYVWKMWHEJO,Trazodone,Chlormezanone,PHLBKPHSAVXXEF::WEQAYVWKMWHEJO,60,,,,
LUKZNWIVRBCLON,SIGSPDASOTUPFS,Ciclesonide,Gestodene,LUKZNWIVRBCLON::SIGSPDASOTUPFS,0,,,,
IQPSEEYGBUAQFF,SEEPANYCNGTZFQ,Pantoprazole,Silver sulfadiazine,IQPSEEYGBUAQFF::SEEPANYCNGTZFQ,558,,,,
GPXLMGHLHQJAGZ,MVWVFYHBGMAFLY,Nafcillin,Ziprasidone,GPXLMGHLHQJAGZ::MVWVFYHBGMAFLY,0,,,,
